id,b,c,v,t
1001001,1,1,1,In the beginning of God's preparing the heavens and the earth --
1001002,1,1,2,"the earth hath existed waste and void, and darkness `is' on the face of the deep, and the Spirit of God fluttering on the face of the waters,"
1001003,1,1,3,"and God saith, `Let light be;' and light is."
1001004,1,1,4,"And God seeth the light that `it is' good, and God separateth between the light and the darkness,"
1001005,1,1,5,"and God calleth to the light `Day,' and to the darkness He hath called `Night;' and there is an evening, and there is a morning -- day one."
1001006,1,1,6,"And God saith, `Let an expanse be in the midst of the waters, and let it be separating between waters and waters.'"
1001007,1,1,7,"And God maketh the expanse, and it separateth between the waters which `are' under the expanse, and the waters which `are' above the expanse: and it is so."
1001008,1,1,8,"And God calleth to the expanse `Heavens;' and there is an evening, and there is a morning -- day second."
1001009,1,1,9,"And God saith, `Let the waters under the heavens be collected unto one place, and let the dry land be seen:' and it is so."
1001010,1,1,10,"And God calleth to the dry land `Earth,' and to the collection of the waters He hath called `Seas;' and God seeth that `it is' good."
1001011,1,1,11,"And God saith, `Let the earth yield tender grass, herb sowing seed, fruit-tree (whose seed `is' in itself) making fruit after its kind, on the earth:' and it is so."
1001012,1,1,12,"And the earth bringeth forth tender grass, herb sowing seed after its kind, and tree making fruit (whose seed `is' in itself) after its kind; and God seeth that `it is' good;"
1001013,1,1,13,"and there is an evening, and there is a morning -- day third."
1001014,1,1,14,"And God saith, `Let luminaries be in the expanse of the heavens, to make a separation between the day and the night, then they have been for signs, and for seasons, and for days and years,"
1001015,1,1,15,and they have been for luminaries in the expanse of the heavens to give light upon the earth:' and it is so.
1001016,1,1,16,"And God maketh the two great luminaries, the great luminary for the rule of the day, and the small luminary -- and the stars -- for the rule of the night;"
1001017,1,1,17,"and God giveth them in the expanse of the heavens to give light upon the earth,"
1001018,1,1,18,"and to rule over day and over night, and to make a separation between the light and the darkness; and God seeth that `it is' good;"
1001019,1,1,19,"and there is an evening, and there is a morning -- day fourth."
1001020,1,1,20,"And God saith, `Let the waters teem with the teeming living creature, and fowl let fly on the earth on the face of the expanse of the heavens.'"
1001021,1,1,21,"And God prepareth the great monsters, and every living creature that is creeping, which the waters have teemed with, after their kind, and every fowl with wing, after its kind, and God seeth that `it is' good."
1001022,1,1,22,"And God blesseth them, saying, `Be fruitful, and multiply, and fill the waters in the seas, and the fowl let multiply in the earth:'"
1001023,1,1,23,"and there is an evening, and there is a morning -- day fifth."
1001024,1,1,24,"And God saith, `Let the earth bring forth the living creature after its kind, cattle and creeping thing, and beast of the earth after its kind:' and it is so."
1001025,1,1,25,"And God maketh the beast of the earth after its kind, and the cattle after their kind, and every creeping thing of the ground after its kind, and God seeth that `it is' good."
1001026,1,1,26,"And God saith, `Let Us make man in Our image, according to Our likeness, and let them rule over fish of the sea, and over fowl of the heavens, and over cattle, and over all the earth, and over every creeping thing that is creeping on the earth.'"
1001027,1,1,27,"And God prepareth the man in His image; in the image of God He prepared him, a male and a female He prepared them."
1001028,1,1,28,"And God blesseth them, and God saith to them, `Be fruitful, and multiply, and fill the earth, and subdue it, and rule over fish of the sea, and over fowl of the heavens, and over every living thing that is creeping upon the earth.'"
1001029,1,1,29,"And God saith, `Lo, I have given to you every herb sowing seed, which `is' upon the face of all the earth, and every tree in which `is' the fruit of a tree sowing seed, to you it is for food;"
1001030,1,1,30,"and to every beast of the earth, and to every fowl of the heavens, and to every creeping thing on the earth, in which `is' breath of life, every green herb `is' for food:' and it is so."
1001031,1,1,31,"And God seeth all that He hath done, and lo, very good; and there is an evening, and there is a morning -- day the sixth."
1002001,1,2,1,"And the heavens and the earth are completed, and all their host;"
1002002,1,2,2,"and God completeth by the seventh day His work which He hath made, and ceaseth by the seventh day from all His work which He hath made."
1002003,1,2,3,"And God blesseth the seventh day, and sanctifieth it, for in it He hath ceased from all His work which God had prepared for making."
1002004,1,2,4,"These `are' births of the heavens and of the earth in their being prepared, in the day of Jehovah God's making earth and heavens;"
1002005,1,2,5,"and no shrub of the field is yet in the earth, and no herb of the field yet sprouteth, for Jehovah God hath not rained upon the earth, and a man there is not to serve the ground,"
1002006,1,2,6,"and a mist goeth up from the earth, and hath watered the whole face of the ground."
1002007,1,2,7,"And Jehovah God formeth the man -- dust from the ground, and breatheth into his nostrils breath of life, and the man becometh a living creature."
1002008,1,2,8,"And Jehovah God planteth a garden in Eden, at the east, and He setteth there the man whom He hath formed;"
1002009,1,2,9,"and Jehovah God causeth to sprout from the ground every tree desirable for appearance, and good for food, and the tree of life in the midst of the garden, and the tree of knowledge of good and evil."
1002010,1,2,10,"And a river is going out from Eden to water the garden, and from thence it is parted, and hath become four chief `rivers';"
